	?股票代码	?股票简称	?申购代码	?发行总数（万股）	?网上发行（万股）	?申购上限（万股）	?发行价格	?发行市盈率	?行业市盈率	?申购日期	?冻结资金（亿元）	?询价累计报价倍数	?中签率（%）	?每中一签（万元）	?中签号	?上市日期	?打新收益（元）	?涨停数量	新股详情	收益率/%
72	603020	爱普股份	732020	4000	3600	1.2	20.47	22.94	41.16	03-12周四	635	60	1.16	176	查看	25-Mar	21530	4	详细?公告	1.22
73	603030	全筑股份	732030	4000	3600	1.6	9.85	22.91	31.16	03-12周四	427	57	0.83	119	查看	20-Mar	15290	6	详细?公告	1.28
74	300429	强力新材	300429	2000	1800	0.8	15.89	18.67	40.08	03-12周四	384	42	0.74	107	查看	24-Mar	24715	11	详细?公告	2.31
75	300431	暴风科技	300431	3000	2700	1.2	7.14	22.97	147.49	03-12周四	561	122	0.34	104	查看	24-Mar	77980	29	详细?公告	7.50
76	2747	埃斯顿	2747	3000	2700	1.2	6.8	22.67	52.73	03-12周四	469	92	0.39	87	查看	20-Mar	26560	19	详细?公告	3.05
77	603338	浙江鼎力	732338	1625	1462	0.6	29.56	21.34	42.65	03-13周五	1199	223	0.36	820	查看	25-Mar	32770	4	详细?公告	0.40
78	300435	中泰股份	300435	2000	1800	0.8	14.73	18.09	56	03-18周三	1494	251	0.18	415	查看	26-Mar	22895	11	详细?公告	0.55
79	300449	汉邦高科	300449	1770	1593	0.7	17.76	22.98	63.87	04-13周一	1446	176	0.2	454	查看	22-Apr	129615	25	详细?公告	2.85
80	2752	昇兴股份	2752	6000	5400	1.8	5.74	22.96	48.1	04-14周二	588	88	0.53	55	查看	22-Apr	7855	10	详细?公告	1.43
81	300424	航新科技	300424	3327	2994	1.3	11.68	21.63	61.87	04-14周二	812	133	0.43	136	查看	22-Apr	85305	25	详细?公告	6.27
82	300436	广生堂	300436	1750	1260	0.7	21.47	18.67	50.12	04-14周二	891	190	0.3	354	查看	22-Apr	127710	23	详细?公告	3.61
83	300439	美康生物	300439	2834	2550	1	27.51	22.98	50.12	04-14周二	1177	121	0.6	231	查看	22-Apr	37615	10	详细?公告	1.63
84	603883	老百姓	732883	6700	6030	2.6	16.41	22.52	38.48	04-14周二	1820	125	0.54	302	查看	23-Apr	39330	9	详细?公告	1.30
85	300445	康斯特	300445	1020	918	0.4	18.12	22.98	66.37	04-14周二	321	103	0.52	175	查看	24-Apr	107755	23	详细?公告	6.16
86	603789	星光农机	732789	5000	4500	2	11.23	21.19	49.47	04-14周二	761	72	0.66	169	查看	27-Apr	17430	7	详细?公告	1.03
87	603703	盛洋科技	732703	2300	2070	0.9	11.32	22.98	37.16	04-14周二	519	78	0.45	251	查看	23-Apr	22680	9	详细?公告	0.90
88	603567	珍宝岛	732567	6458	5812	1.8	23.6	22.91	50.12	04-14周二	1655	85	0.83	285	查看	24-Apr	33510	7	详细?公告	1.18
89	603318	派思股份	732318	3010	2709	1.2	6.52	22.97	49.47	04-14周二	554	113	0.32	205	查看	24-Apr	77580	23	详细?公告	3.78
90	300443	金雷风电	300443	1407	1013	0.55	31.94	19.66	49.47	04-14周二	599	126	0.54	296	查看	22-Apr	37820	10	详细?公告	1.28
91	603025	大豪科技	732025	5100	4590	1.5	11.17	22.98	63.87	04-14周二	829	81	0.62	181	查看	22-Apr	25200	9	详细?公告	1.39
92	300447	全信股份	300447	2025	1822	0.8	12.91	22.3	37.1	04-14周二	544	138	0.43	149	查看	22-Apr	94355	25	详细?公告	6.33
93	603818	曲美股份	732818	6052	5446	2.4	8.98	22.99	43.57	04-14周二	850	77	0.57	156	查看	22-Apr	21460	9	详细?公告	1.38
94	603808	歌力思	732808	4000	3600	1.6	19.16	22.96	37.16	04-14周二	857	76	0.8	238	查看	22-Apr	29720	6	详细?公告	1.25
95	300446	乐凯新材	300446	1540	1386	0.6	8.85	7.11	46.98	04-15周三	268	111	0.46	97	查看	23-Apr	96610	29	详细?公告	9.96
96	300448	浩云科技	300448	2000	1800	0.8	15.79	22.88	118.74	04-15周三	614	143	0.46	171	查看	24-Apr	104095	24	详细?公告	6.09
97	300441	鲍斯股份	300441	2112	1900	0.8	9.81	22.81	61.39	04-15周三	272	76	0.68	72	查看	23-Apr	13415	10	详细?公告	1.86
98	300440	运达科技	300440	2800	2520	1.1	21.7	22.97	118.74	04-15周三	902	92	0.61	179	查看	23-Apr	26000	9	详细?公告	1.45
99	300444	双杰电气	300444	3448	3103	1.3	12.13	22.89	37.1	04-15周三	489	79	0.77	79	查看	23-Apr	12665	8	详细?公告	1.60
100	300437	清水源	300437	1670	1503	0.6	10.53	19.3	46.53	04-15周三	318	151	0.5	106	查看	23-Apr	85160	26	详细?公告	8.03
101	603315	福鞍股份	732315	2500	2250	1	10.77	22.91	61.39	04-15周三	513	95	0.47	228	查看	24-Apr	21110	8	详细?公告	0.93
102	603021	山东华鹏	732021	2640	2376	1	8.73	22.97	54.53	04-15周三	443	90	0.47	187	查看	23-Apr	20900	9	详细?公告	1.12
103	600959	江苏有线	730959	59700	53730	17.7	5.47	22.98	53.15	04-15周三	2372	118	1.24	44	查看	28-Apr	52930	21	详细?公告	12.03
104	2751	易尚展示	2751	1756	1580	0.65	10.48	22.98	44.96	04-16周四	489	138	0.34	155	查看	24-Apr	84725	26	详细?公告	5.47
105	300404	博济医药	300404	1667	1500	0.65	12.87	22.98	68.93	04-16周四	642	246	0.3	214	查看	24-Apr	90065	26	详细?公告	4.21
106	300434	金石东方	300434	1700	1530	0.65	10.57	22.98	49.47	04-16周四	371	147	0.44	121	查看	24-Apr	69695	24	详细?公告	5.76
